countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.697,
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,62.906,
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,9.829999924,
BRA,Brazil,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,8.274219016,
BRA,Brazil,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,74.506,
BRA,Brazil,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.77,
BRA,Brazil,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,16609.4287,
BRA,Brazil,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,15.44596004,
BRB,Barbados,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,16.53069367,
BRB,Barbados,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,14606.00768,
BRB,Barbados,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.803,
BRB,Barbados,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,76.647,
BRB,Barbados,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,9.891071177,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,9.22,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,75.114,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.836,
BRN,Brunei Darussalam,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,83430.85014,
BRN,Brunei Darussalam,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,13.69861984,
BTN,Bhutan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,13.06449041,
BTN,Bhutan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,12182.50475,
BTN,Bhutan,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.688,
BTN,Bhutan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,72.253,
BTN,Bhutan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,5.835794662,
BWA,Botswana,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,10.42,
BWA,Botswana,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,67.643,
BWA,Botswana,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.718,
BWA,Botswana,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2021 PPP$),2020,15141.15782,
BWA,Botswana,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,11.44906858,
