26-03-07--06-25-36

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=random_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=None
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1

Epoch: 62, epoch time: 15.03min, tot time: 0.60day, kemeny_dis_train: 1882.184650, kemeny_dis_base: 1882.205891, update: False, training_phase: 2
Epoch: 63, epoch time: 14.99min, tot time: 0.61day, kemeny_dis_train: 1878.000094, kemeny_dis_base: 1878.401308, update: True, training_phase: 2
Epoch: 64, epoch time: 15.05min, tot time: 0.63day, kemeny_dis_train: 1874.079421, kemeny_dis_base: 1874.051131, update: False, training_phase: 2
Epoch: 65, epoch time: 15.06min, tot time: 0.64day, kemeny_dis_train: 1881.169692, kemeny_dis_base: 1881.340551, update: True, training_phase: 2
Epoch: 66, epoch time: 15.04min, tot time: 0.65day, kemeny_dis_train: 1872.486313, kemeny_dis_base: 1872.652395, update: True, training_phase: 2
Epoch: 67, epoch time: 14.98min, tot time: 0.66day, kemeny_dis_train: 1882.509455, kemeny_dis_base: 1882.413455, update: False, training_phase: 2
Epoch: 68, epoch time: 15.00min, tot time: 0.67day, kemeny_dis_train: 1882.975817, kemeny_dis_base: 1883.556016, update: True, training_phase: 2
Epoch: 69, epoch time: 15.02min, tot time: 0.68day, kemeny_dis_train: 1864.793908, kemeny_dis_base: 1864.725797, update: False, training_phase: 2
Epoch: 70, epoch time: 14.99min, tot time: 0.69day, kemeny_dis_train: 1879.305946, kemeny_dis_base: 1879.330577, update: False, training_phase: 2
Epoch: 71, epoch time: 15.04min, tot time: 0.70day, kemeny_dis_train: 1875.556181, kemeny_dis_base: 1875.932844, update: True, training_phase: 2
Epoch: 72, epoch time: 15.01min, tot time: 0.71day, kemeny_dis_train: 1880.508344, kemeny_dis_base: 1880.579029, update: False, training_phase: 2
Epoch: 73, epoch time: 15.00min, tot time: 0.72day, kemeny_dis_train: 1889.160403, kemeny_dis_base: 1889.072620, update: False, training_phase: 2
Epoch: 74, epoch time: 15.01min, tot time: 0.73day, kemeny_dis_train: 1884.174713, kemeny_dis_base: 1884.521335, update: True, training_phase: 2
Epoch: 75, epoch time: 14.98min, tot time: 0.74day, kemeny_dis_train: 1879.292349, kemeny_dis_base: 1879.065604, update: False, training_phase: 2
Epoch: 76, epoch time: 15.02min, tot time: 0.75day, kemeny_dis_train: 1883.388699, kemeny_dis_base: 1883.288254, update: False, training_phase: 2
Epoch: 77, epoch time: 14.98min, tot time: 0.76day, kemeny_dis_train: 1877.994868, kemeny_dis_base: 1878.036673, update: False, training_phase: 2
Epoch: 78, epoch time: 14.94min, tot time: 0.77day, kemeny_dis_train: 1873.559218, kemeny_dis_base: 1873.781763, update: True, training_phase: 2
Epoch: 79, epoch time: 14.98min, tot time: 0.78day, kemeny_dis_train: 1875.936594, kemeny_dis_base: 1875.437656, update: False, training_phase: 2
Epoch: 80, epoch time: 14.95min, tot time: 0.79day, kemeny_dis_train: 1874.781781, kemeny_dis_base: 1874.939226, update: True, training_phase: 2
Epoch: 81, epoch time: 14.96min, tot time: 0.80day, kemeny_dis_train: 1875.199160, kemeny_dis_base: 1875.297965, update: True, training_phase: 2
Epoch: 82, epoch time: 15.06min, tot time: 0.81day, kemeny_dis_train: 1873.649799, kemeny_dis_base: 1873.997494, update: True, training_phase: 2
Epoch: 83, epoch time: 15.03min, tot time: 0.82day, kemeny_dis_train: 1883.846033, kemeny_dis_base: 1883.695213, update: False, training_phase: 2
Epoch: 84, epoch time: 15.05min, tot time: 0.83day, kemeny_dis_train: 1878.277931, kemeny_dis_base: 1878.362177, update: False, training_phase: 2
Epoch: 85, epoch time: 14.99min, tot time: 0.84day, kemeny_dis_train: 1882.827609, kemeny_dis_base: 1882.611749, update: False, training_phase: 2
Epoch: 86, epoch time: 15.03min, tot time: 0.85day, kemeny_dis_train: 1882.056159, kemeny_dis_base: 1882.447098, update: True, training_phase: 2
Epoch: 87, epoch time: 14.98min, tot time: 0.87day, kemeny_dis_train: 1868.454792, kemeny_dis_base: 1868.558622, update: True, training_phase: 2
Epoch: 88, epoch time: 15.03min, tot time: 0.88day, kemeny_dis_train: 1874.629492, kemeny_dis_base: 1874.260810, update: False, training_phase: 2
Epoch: 89, epoch time: 15.00min, tot time: 0.89day, kemeny_dis_train: 1878.428174, kemeny_dis_base: 1878.339669, update: False, training_phase: 2
Epoch: 90, epoch time: 14.98min, tot time: 0.90day, kemeny_dis_train: 1871.193154, kemeny_dis_base: 1871.518803, update: True, training_phase: 2
Epoch: 91, epoch time: 15.00min, tot time: 0.91day, kemeny_dis_train: 1872.349145, kemeny_dis_base: 1872.157223, update: False, training_phase: 2
Epoch: 92, epoch time: 15.02min, tot time: 0.92day, kemeny_dis_train: 1869.967723, kemeny_dis_base: 1870.066345, update: True, training_phase: 2
