26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 452, epoch time: 10.34min, tot time: 3.85day, kemeny_dis_train: 1466.197207, kemeny_dis_base: 1466.255560, update: False, training_phase: 2
Epoch: 453, epoch time: 10.24min, tot time: 3.86day, kemeny_dis_train: 1447.290465, kemeny_dis_base: 1447.352293, update: False, training_phase: 2
Epoch: 454, epoch time: 10.25min, tot time: 3.87day, kemeny_dis_train: 1441.555803, kemeny_dis_base: 1441.669292, update: True, training_phase: 2
Epoch: 455, epoch time: 10.26min, tot time: 3.88day, kemeny_dis_train: 1413.130062, kemeny_dis_base: 1413.208471, update: False, training_phase: 2
Epoch: 456, epoch time: 10.22min, tot time: 3.88day, kemeny_dis_train: 1429.404859, kemeny_dis_base: 1429.337504, update: False, training_phase: 2
Epoch: 457, epoch time: 10.25min, tot time: 3.89day, kemeny_dis_train: 1429.463269, kemeny_dis_base: 1429.631135, update: True, training_phase: 2
Epoch: 458, epoch time: 10.26min, tot time: 3.90day, kemeny_dis_train: 1445.926669, kemeny_dis_base: 1445.903867, update: False, training_phase: 2
Epoch: 459, epoch time: 10.26min, tot time: 3.90day, kemeny_dis_train: 1445.134433, kemeny_dis_base: 1445.180942, update: False, training_phase: 2
Epoch: 460, epoch time: 10.18min, tot time: 3.91day, kemeny_dis_train: 1433.191087, kemeny_dis_base: 1433.179095, update: False, training_phase: 2
Epoch: 461, epoch time: 10.15min, tot time: 3.92day, kemeny_dis_train: 1421.398436, kemeny_dis_base: 1421.481354, update: True, training_phase: 2
Epoch: 462, epoch time: 10.24min, tot time: 3.93day, kemeny_dis_train: 1436.495796, kemeny_dis_base: 1436.335176, update: False, training_phase: 2
Epoch: 463, epoch time: 10.28min, tot time: 3.93day, kemeny_dis_train: 1449.002807, kemeny_dis_base: 1448.992225, update: False, training_phase: 2
Epoch: 464, epoch time: 10.32min, tot time: 3.94day, kemeny_dis_train: 1435.243589, kemeny_dis_base: 1435.291169, update: False, training_phase: 2
Epoch: 465, epoch time: 10.31min, tot time: 3.95day, kemeny_dis_train: 1442.134259, kemeny_dis_base: 1441.812496, update: False, training_phase: 2
Epoch: 466, epoch time: 10.27min, tot time: 3.95day, kemeny_dis_train: 1426.326167, kemeny_dis_base: 1426.306027, update: False, training_phase: 2
Epoch: 467, epoch time: 10.24min, tot time: 3.96day, kemeny_dis_train: 1408.141029, kemeny_dis_base: 1408.244333, update: True, training_phase: 2
Epoch: 468, epoch time: 10.22min, tot time: 3.97day, kemeny_dis_train: 1426.738567, kemeny_dis_base: 1426.748279, update: False, training_phase: 2
Epoch: 469, epoch time: 10.23min, tot time: 3.98day, kemeny_dis_train: 1422.350227, kemeny_dis_base: 1422.415195, update: False, training_phase: 2
Epoch: 470, epoch time: 10.23min, tot time: 3.98day, kemeny_dis_train: 1433.679613, kemeny_dis_base: 1433.797010, update: True, training_phase: 2
Epoch: 471, epoch time: 10.28min, tot time: 3.99day, kemeny_dis_train: 1441.645741, kemeny_dis_base: 1441.778892, update: True, training_phase: 2
Epoch: 472, epoch time: 10.28min, tot time: 4.00day, kemeny_dis_train: 1431.182089, kemeny_dis_base: 1431.281437, update: True, training_phase: 2
Epoch: 473, epoch time: 10.32min, tot time: 4.00day, kemeny_dis_train: 1449.905517, kemeny_dis_base: 1449.658100, update: False, training_phase: 2
Epoch: 474, epoch time: 10.62min, tot time: 4.01day, kemeny_dis_train: 1445.351811, kemeny_dis_base: 1445.147002, update: False, training_phase: 2
Epoch: 475, epoch time: 10.55min, tot time: 4.02day, kemeny_dis_train: 1434.228942, kemeny_dis_base: 1434.147905, update: False, training_phase: 2
Epoch: 476, epoch time: 10.54min, tot time: 4.03day, kemeny_dis_train: 1441.137577, kemeny_dis_base: 1440.786206, update: False, training_phase: 2
